Activities,max,avg,min,diff,max,avg,min,diff,max,avg,min,diff,max,avg,min,diff
forwardfall1,1.29,0.52,-3.15,4.44,3.98,0.52,-1.27,5.25,2.57,-0.31,-4.00,6.57,6.23,1.02,0.53,5.69
forwardfall2,1.64,-0.25,-0.54,2.18,1.64,0.85,-0.91,2.55,0.39,-0.12,-1.79,2.18,2.80,0.98,0.53,2.27
forwardfall3,1.47,0.54,-0.60,2.07,1.43,0.38,-0.17,1.60,1.03,0.41,-1.42,2.45,2.04,1.02,0.40,1.63
forwardfall4,4.00,0.48,-0.36,4.36,2.53,0.39,-0.47,3.00,0.12,-0.41,-2.74,2.86,4.88,1.02,0.50,4.38
forwardfall5,2.11,0.45,-0.43,2.54,1.43,0.37,-1.72,3.14,0.96,0.50,-0.78,1.74,2.34,1.03,0.28,2.06
forwardfall6,2.57,0.70,-0.18,2.75,1.49,0.31,-0.66,2.14,0.17,0.06,-1.19,1.36,2.94,1.02,0.38,2.56
forwardfall7,0.32,-0.60,-3.96,4.28,1.27,0.40,-1.47,2.75,0.66,-0.13,-3.92,4.58,5.71,1.00,0.38,5.34
forwardfall8,0.23,-0.44,-1.07,1.31,3.45,0.46,-0.08,3.52,0.16,-0.44,-2.31,2.47,4.15,0.97,0.51,3.64
forwardfall9,1.56,-0.05,-2.76,4.33,2.03,0.40,-1.98,4.01,3.96,0.62,-2.15,6.11,4.90,1.03,0.37,4.53
forwardfall10,0.35,-0.60,-2.20,2.55,1.19,0.42,-0.07,1.26,0.29,-0.25,-1.55,1.84,2.21,0.98,0.74,1.47
